evenement
" Average increase-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Important increase-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Weak decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Average decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Important decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
"noel, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
"jour_de_l_an, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
"halloween, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
"fete_nationale, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
"saint_valentin, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
"yennayer, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Weak increase-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Average increase-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Important increase-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Weak decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Average decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Weak increase-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Average increase-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Important increase-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Weak decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Average decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Important decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
"noel, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
"jour_de_l_an, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
"halloween, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
"fete_nationale, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
"saint_valentin, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
"yennayer, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Weak increase-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Average increase-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Important increase-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Weak decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Average decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Important decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Weak increase-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Average increase-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Important increase-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Weak decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Average decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
" Important decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity"
"noel, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
"jour_de_l_an, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
"halloween, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
"fete_nationale, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
"saint_valentin, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
"yennayer, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity, Important decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Important decrease-quantity"
" Weak increase-quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity"
" Average increase-quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity"
" Important increase-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity"
" Weak decrease-quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity"
" Average decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity"
" Weak increase-retour_Quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity"
" Average increase-retour_Quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity"
" Important increase-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity"
" Weak decrease-retour_Quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity"
" Average decrease-retour_Quantity, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity"
"noel, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity"
"jour_de_l_an, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity"
"halloween, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity"
"fete_nationale, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity"
"saint_valentin, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity"
"yennayer, Weak increase-quantity, Average increase-quantity, Important increase-quantity, Weak decrease-quantity, Average decrease-quantity, Weak increase-retour_Quantity, Average increase-retour_Quantity, Important increase-retour_Quantity, Weak decrease-retour_Quantity, Average decrease-retour_Quantity"
